FMID;MarketName;Website;street;city;zip;Season1Date;x;y
260458576;Sphinx;no data; ;no data;no data;"Mo-Su 10:00-23:00; Fr,Sa 10:00-24:00";21.0461964;52.1498769
260832131;Pizzeria Dominium;no data;Aleja Komisji Edukacji Narodowej ;no data;no data;Mo-Su 11:00-22:00;21.0532612;52.144968
261027978;Pizza Hut;no data; ;no data;no data;no data;21.0142668;52.2484456
261659066;Restauracja Staroúwiecka;no data;Aleja Komisji Edukacji Narodowej ;no data;no data;Mo-Su 10:00-23:00;21.0533124;52.1450932
262284057;"Zajazd ""Przy lesie""";no data; ;no data;no data;no data;21.457883;50.3851693
262770180;Rauta;http://rauta.pl/;Jakuba Kubickiego 21;Warszawa;no data;no data;21.0699436;52.1702021
264588398;Restauracja Polska;no data;Krakowskie Przedmieúcie 11;Warszawa;no data;no data;21.0157847;52.2409089
266560961;Carte Blanche;no data; ;no data;no data;no data;16.1786761;51.2066865
266779072;Wenecja;no data; ;no data;no data;"Mo-Sa 11:00-20:00; Su 12:00-20:00";16.1674709;51.207094
267797377;Pizza Dominium;no data;Jubilerska 10;Warszawa;no data;no data;21.1192722;52.2371151
267910733;Spiøarnia SzczeciÒska;http://www.chata.szczecin.pl/;plac Ho≥du Pruskiego 8;Szczecin;70-550;"Su-Th 12:00-22:00; Fr-Sa 12:00-02:00";14.5563684;53.4287095
267921578;El Tapatio;http://www.el-tapatio.pl/;Kaszubska 3;Szczecin;70-403;"Mo-Th 13:00-22:00; Fr,Sa 13:00-24:00; Su 13:00-20:00";14.5504114;53.4296474
267922237;Nowy Chief;http://www.chief.com.pl/; ;no data;no data;11:00-23:00;14.5469306;53.4324116
270306093;Telepizza;no data;Nugat ;no data;no data;no data;21.0520443;52.1563123
270854022;Pekin;no data;Senatorska 29;Warszawa;no data;no data;21.0071616;52.2434436
271844299;"Pizzeria ""U Dziadka""";no data; ;no data;no data;no data;20.9680572;52.2342669
274871155;Bar DEZAKO Sp. Z o.o. Tuszyna;no data;139;Tuszyma;39-321;24.lip;21.4986191;50.1854836
275566930;Duet;no data; ;no data;no data;no data;14.9697339;51.7863689
277059873;Szmaragdowa;no data; ;no data;no data;no data;18.7215098;50.2227202
277625053;Verona;no data; ;no data;no data;no data;23.1186885;52.0350709
278839934;Marc et Bella;no data;Aleja Jana Paw≥a II 61;Warszawa;01-031;no data;20.9880885;52.2475451
278973442;Polonia w Zaciszu;no data; ;no data;no data;no data;19.9476572;52.1040769
279035219;Bao Long;http://bar.baolong.pl/;Smocza 18;Warszawa;no data;Mo-Sa 10:00-21:00 Su 11:00-21:00;20.9850057;52.2468861
279317978;Szkie≥ka;no data; ;no data;no data;no data;19.9367079;52.1103719
280310343;Pizzeria Nowoursynowska;no data;Nowoursynowska 143;Warszawa;02-776;Mo-Su 12:00-22:00;21.0591411;52.1518077
280333646;Pizzeria Limba;http://www.catering-gastro.pl; ;no data;no data;no data;21.0393268;52.1624403
280727473;Chatka przy Jatkach;no data;OdrzaÒska 7;Wroc≥aw;50-113;Mo-Su 12:00-22:00;17.0314141;51.1119831
280797029;Florian;http://www.florian.pl; ;no data;no data;no data;20.9937487;52.2384387
281078997;Jazz Bistro;no data; ;no data;no data;no data;21.0014401;52.1778612
282980353;Las Vegas;no data;Miko≥aja Kopernika 23a;Lubawa;no data;Mo-Su 11:00-23:00;19.7488508;53.5044233
287768297;Zajazd pod K≥obukiem;http://klobuk.pl;Zamkowa 11;no data;14-330;no data;19.7310801;53.909899
293121947;Fabryka Pizzy;http://www.fabrykapizzy.pl/;JagielloÒska 1;Skierniewice;96-100;"Mo-Th 11:00-22:00; Fr-Sa 11:00-24:00; Su 11:00-22:00";20.1445688;51.9564795
293155672;Pizza Hut;no data; ;no data;no data;no data;14.6648259;53.3823128
293960156;Cichy Köcik;no data; ;no data;no data;no data;23.4945116;53.4046132
295951755;Alhambra;http://www.restauracja-alhambra.pl; ;no data;no data;"Mo-Th 12:00-22:00; Fr-Sa 12:00-24:00; Su 12:00-22:00";20.1473071;51.9603304
296064011;Umami Piöty Smak;no data; ;no data;no data;no data;18.622729;50.3912625
296114112;Oberøa Templum;http://www.oberzatemplum.pl/; ;no data;74-407;no data;14.6421361;52.6867308
297879391;Zajazd Biskupinek;no data; ;no data;no data;no data;17.8710761;53.0844165
300048153;Horapa;http://www.horapa.pl/; ;no data;no data;Mo-Su 10:30-22:30;21.054761;52.1433631
300089052;Pizzeria Parma;http://www.pizzeriaparma.pl/; ;no data;no data;Mo-Su 12:00-22:00;21.0325742;52.1560362
300461031;Jana;http://wschodniabiesiada.pl;Igielna 16;Wroc≥aw;50-325;Mo-Su 12:00-22:00;17.0322107;51.1114546
300461042;Pha Tha Thai;http://phathathai.pl/;WiÍzienna 5b;Wroc≥aw;50-118;"Mo-Th 11:00-21:00; Fr-Sa 11:00-22:00; Su 11:00-21:00";17.0324586;51.1122161
300461045;Cegielnia;http://cegielniabistro.com;åwidnicka 5;Wroc≥aw;50-064;Mo-Su 12:00-24:00;17.0322691;51.1084751
300461102;Sushi Darea;no data; ;no data;no data;Mo-Su 12:00-22:00;17.0344004;51.1129193
300461105;Ban Thai;no data;Kotlarska 24;Wroc≥aw;50-120;Su-Th 12:00-22:00, Fr-Sa 12:00-23:00;17.0326813;51.1119703
302711831;Galil;no data; ;no data;no data;"Mo-Th 11:00-23:00; Su 14:00-23:00";21.0064856;52.2361758
302904559;Trattoria da Antonio;http://www.trattoriadaantonio.pl;Aleje Jerozolimskie 119;Warszawa;no data;no data;20.9922151;52.2252134
302904561;Shoku-yoku;no data;Aleje Jerozolimskie 117;Warszawa;no data;no data;20.9928195;52.2253607
302904564;Grand Kredens;http://www.kredens.com.pl/;Aleje Jerozolimskie 111;Warszawa;02-017;no data;20.9940071;52.225789
304314831;Morena;no data; ;no data;no data;no data;23.467316;54.1458152
305066331;Bistro Gacek;no data;Aleja Koúciuszki 5;no data;84-100;no data;18.4153915;54.7220821
307936880;Batory;no data; ;no data;no data;no data;16.8799034;52.376789
308139143;Pizzeria Da Grasso;https://www.dagrasso.pl/warszawa-mokotow;Aleja Niepodleg≥oúci 121/123;Warszawa;no data;"Mo-Sa 11:00-22:00; Su 12:00-22:00";21.0113807;52.1995156
308190812;Mediterano;no data; ;no data;no data;no data;21.0155774;52.2330875
308324891;Zapiecek;no data;Aleje Jerozolimskie 28;Warszawa;no data;no data;21.0194443;52.231682
309595871;Sodexo;no data; ;no data;no data;no data;21.0142205;52.1701405
309749922;Literatka;http://literatka.com.pl;Krakowskie Przedmieúcie 87/89;Warszawa;no data;no data;21.0131939;52.2467829
309749931;Ba≥kaÒskie Bistro;no data; ;no data;no data;Mo-Su 11:00-21:00;21.0597868;52.2470303
309762087;Hellena;no data; ;no data;no data;no data;18.1024923;54.2574901
310280494;China Town;no data;Aleje Jerozolimskie 87;Warszawa;02-001;no data;21.0000467;52.2271187
310412087;Pizzeria Incanto;no data;Kobielska 6;Warszawa;04-359;"Mo 14:00-22:00; Tu-Su 14:00-22:00";21.0902738;52.2471344
310889949;Orient Express;no data;Grochowska 56;Warszawa;no data;no data;21.1147321;52.2401816
311432154;La Musica;no data; ;no data;no data;no data;21.0595155;52.0529051
311852403;Sphinx;no data;Szpitalna 1;Warszawa;no data;no data;21.0149818;52.2326167
311852579;Qu? H??ng;no data; ;no data;no data;no data;21.0170634;52.2196114
311852591;Dong Nam;no data; ;no data;no data;no data;21.0168653;52.2208892
311863868;Porta 13 - Restauracja BIO;no data;Bracka 22;Warszawa;no data;no data;21.0166859;52.2323903
311863869;Uprzejmie donoszÍ;http://uprzejmie-donosze.pl; ;no data;no data;no data;21.017841;52.2325201
312882866;KoreaTown;no data;Pu≥awska 24B;Warszawa;02-512;no data;21.0221112;52.2063804
312892783;Pizzeria Prima;no data; ;no data;no data;no data;21.0235608;52.1989363
312892886;Maharaja;no data; ;no data;no data;no data;21.0173186;52.2213773
312892887;Secado;no data; ;no data;no data;"Mo-Th 11:00-23:00; Fr 11:00-24:00; Sa 00:00-01:00, 12:00-24:00; Su 00:00-01:00, 12:00-22:00";21.0152518;52.2248972
313206740;Rooster;no data;Krakowskie Przedmieúcie ;no data;no data;no data;21.0178254;52.238762
314418377;British Bulldog Pub;no data;Aleje Jerozolimskie 42;Warszawa;00-022;Mo-Sa 11:00-01:00;21.0159011;52.2309618
314590527;Aioli;no data;åwiÍtokrzyska 18;Warszawa;no data;"Su-Th 09:00-23:30; Fr-Sa 09:00-00:00";21.0113594;52.2360354
314590537;Ristorante Corleone;no data;Nowy åwiat 38;Warszawa;no data;no data;21.0192579;52.2341181
314590538;Binh Minh;no data;Nowy åwiat 42;Warszawa;no data;no data;21.0194229;52.2344712
314590551;Pizza Dominium;https://www.pizzadominium.pl/lokale/warszawa-nowy-swiat;Nowy åwiat 34;Warszawa;00-362;"Mo-Th 12:00-24:00; Fr-Sa 12:00-01:00; Su 12:00-22:00";21.0193858;52.23381
314608494;Vega;http://www.vega-warszawa.pl/; ;no data;no data;Mo-Su 11:00-20:00;20.9952929;52.2412338
315119747;Co Tu;no data;Nowy åwiat 28;Warszawa;no data;no data;21.02053;52.2331152
315119749;Besuto Sushi Bar;no data;Nowy åwiat 28;Warszawa;no data;no data;21.0200907;52.2331697
315403562;Pizza Dominium;no data;Francuska 10;Warszawa;no data;no data;21.055574;52.2324671
315403606;Pizza Dominium;no data;Krucza 16/22;Warszawa;00-526;no data;21.0191483;52.2259607
316120115;Ujazdowska;http://www.ujazdowska.com.pl;Aleje Ujazdowskie 6A;Warszawa;00-461;no data;21.0243599;52.2243747
316120119;U AktorÛw;no data; ;no data;no data;no data;21.0231162;52.2266522
316120149;Sphinx;no data;Aleje Jerozolimskie 42;Warszawa;no data;no data;21.0135696;52.2304959
316199439;The Mexican;no data;Nowy åwiat 10;Warszawa;00-366;no data;21.0221658;52.2344986
316199441;Bistro Ale'je;no data;Aleje Jerozolimskie 42;Warszawa;no data;no data;21.0153491;52.2308731
316199481;Pizza Dominium;no data;GrÛjecka 22;Warszawa;no data;no data;20.9854338;52.2216614
316632522;Arti;no data;Aleje Jerozolimskie 121/123;Warszawa;no data;no data;20.9919869;52.225205
316723620;Restauracja Opera;http://nakuncu.pl/; ;no data;no data;Mo-Su 11:00-23:00;14.5596827;53.4260743
316840593;Bombay;http://www.india.pl/; ;no data;no data;13:00-23:00;14.5502536;53.4237997
316886479;U Szwejka;http://www.uszwejka.pl;Plac Konstytucji 1;Warszawa;no data;"Mo-Fr 08:00-00:00; Sa 10:00-00:00; Su 13:00-00:00";21.016066;52.2212657
316888366;Ma≥a Gruzja;no data;Nowogrodzka 40;Warszawa;no data;no data;21.0105741;52.2285173
316888367;Metro Jazz Cafe;https://www.hotelmetropol.com.pl/;Marsza≥kowska 99a;Warszawa;no data;Mo-Su 12:00-24:00;21.0110878;52.2289047
316888382;Strauss;https://www.poloniapalace.com/;Aleje Jerozolimskie 45;Warszawa;no data;"Mo-Fr 06:00-10:00,11:00-16:00,18:00-22:30; Sa,Su 06:30-10:30,18:00-22:30";21.0100208;52.2291343
316892275;Trattoria da Antonio;no data;Øurawia 18;Warszawa;00-515;no data;21.016456;52.2287498
316892277;Hubertus and Elio;no data;Øurawia 20;Warszawa;no data;no data;21.0161875;52.2286984
316892292;Grill Bar Zgoda;no data;Zgoda 4;Warszawa;no data;no data;21.0145192;52.2326639
316892293;Bu≥kÍ przez Bibu≥kÍ;no data;Zgoda 3;Warszawa;no data;"Mo-Fr 07:30-23:00; Sa 09:00-23:00; Su 09:00-22:00";21.0139956;52.232601
316892297;Gusto Dominium;no data;Zgoda 5;Warszawa;no data;no data;21.0133108;52.2327945
316892298;Ryøowe Pole;no data;Zgoda 5;Warszawa;no data;no data;21.0130991;52.2328513
316892299;Borpince;no data;Zgoda 1;Warszawa;no data;no data;21.0141614;52.232558
317095597;Trattoria Capri;no data;Smolna 30;Warszawa;no data;no data;21.0232432;52.2329571
317587195;Sofia;no data;Plac PowstaÒcÛw Warszawy 1;Warszawa;no data;no data;21.0134333;52.2341869
317587921;Cha≥upa SmakÛw;no data;Bia≥obrzeska 66;Warszawa;no data;closed;20.9785768;52.2206935
317728043;Taverna Patris;no data;Grochowska 344;Warszawa;no data;no data;21.0550711;52.2473524
318122252;Sushi bar;no data;Aleje Jerozolimskie 109;Warszawa;no data;no data;20.9942935;52.2258275
319165333;Bistro Bordo;https://bordo.com.pl/;Chmielna 34;Warszawa;00-029;"Mo-Th 10:00-22:00; Fr,Sa 10:00-23:00; Su 12:00-22:00";21.0121102;52.2319542
319421727;Doppio;http://www.doppio-cuore.pl/;Konstantego Ildefonsa Ga≥czyÒskiego 3;Warszawa;no data;13:00+;21.0197149;52.2343083
319428738;Sphinx;no data;åwiÍtokrzyska 136;Warszawa;no data;no data;21.0096487;52.23526
319430784;Ginger;no data;Zgoda 12;Warszawa;no data;no data;21.0114578;52.233638
319495744;Tapas Bar - Casa to tu;no data;Nowy åwiat 52;Warszawa;no data;no data;21.0187749;52.2351315
319495746;Sphinx;http://www.sphinx.pl/restauracja-61/;Nowy åwiat 40;Warszawa;00-363;"Mo-Th 11:00-23:00; Fr-Sa 11:00-00:00";21.019132;52.2343237
320069142;Corner;no data;Podleúna 1a;no data;no data;no data;21.017491;52.0629905
321388525;Bia≥y Domek;https://www.restauracjabialydomek.pl/; ;no data;no data;no data;20.9986197;52.2057054
322232181;Siwy Dym;http://www.siwydym.pl/restauracja/warszawa.htm;Pu≥awska ;no data;no data;"Mo-Su 00:00-02:00,12:00-24:00; Tu-Fr 12:00-24:00";21.017036;52.1349798
322232601;Sushi 77;http://www.sushi77.com/index.php?kontakt,w01; ;no data;no data;Mo-Su 12:00-23:00;21.052211;52.1440946
322232727;Niebo w GÍbie;no data;Jana Roso≥a 50;Warszawa;no data;no data;21.0633747;52.1456503
322691914;Bia≥y BawÛ≥;no data; ;no data;no data;no data;14.7828491;53.2513851
323234499;Pizza Hut;no data; ;no data;no data;no data;21.0017304;52.245022
327626222;Pamukkale;no data;GrÛjecka 60;Warszawa;no data;no data;20.9801305;52.2156847
327928496;Pizzeria Vendetta;no data; ;no data;no data;no data;15.810945;53.5309715
330013899;Questo e Quello;no data;Bitwy Warszawskiej 1920 roku 19;Warszawa;no data;no data;20.9638995;52.2146837
331759269;C.K. Oberøa;https://www.ckoberza.pl/;Chmielna 28;Warszawa;00-020;no data;21.0133586;52.2321874
331764257;Agrykola;no data;Myúliwiecka 9;Warszawa;no data;no data;21.0351235;52.2209412
331766404;Vinam;no data;GrÛjecka 36;Warszawa;no data;no data;20.9837047;52.2199436
331775520;Chlopska Karczma;no data; ;no data;no data;no data;19.1781773;52.1815023
331850103;Da Vinci;no data;Skarbka z GÛr 120;Warszawa;no data;"Mo-Th 12:00-22:00; Fr-Sa 12:00-23:00; Su 12:00-22:00";21.0586839;52.3182488
332021994;Harenda;no data;Krakowskie Przedmieúcie ;no data;no data;no data;21.0189062;52.2386961
333135935;Tandoori;no data; ;no data;no data;no data;21.0186906;52.2174823
333136009;Izumi Sushi;no data; ;no data;no data;Mo-Su 12:00-23:00;21.0172772;52.2195197
333136439;Sexy duck;no data;Plac Konstytucji 3;Warszawa;00-647;"Su-Th 09:00-23:00; Fr-Sa 09:00-24:00";21.0152624;52.221714
333136524;Ch≥opskie Jad≥o;no data;Plac Konstytucji 1;Warszawa;no data;no data;21.0160511;52.2211251
333136766;S≥odki S≥ony;no data; ;no data;no data;no data;21.0199237;52.2230749
333593759;Zajazd £owicki;no data; ;no data;no data;no data;19.9323874;52.1188733
334008611;Der Elefant;no data; ;no data;no data;no data;21.0034479;52.2418301
334010754;Maestria;no data; ;no data;no data;no data;21.0125481;52.2471039
334012340;Le Cedre;no data;"Aleja ""Solidarnoúci"" 61";Warszawa;no data;no data;21.0311137;52.2528376
334482533;Hammurabi;no data;Nowy åwiat 63;Warszawa;no data;no data;21.0178;52.2367176
334482545;Ceprownia;https://ceprownia.pl/;Krakowskie Przedmieúcie 7;Warszawa;no data;no data;21.0163383;52.2402405
334742366;Pizzeria u Jana;no data; ;no data;no data;no data;15.0405321;53.3387615
335704925;Pizzeria;no data; ;no data;no data;no data;20.90029;52.2175585
338486362;Hard Rock Cafe;https://www.hardrock.com/cafes/warsaw/;Z≥ota 59;Warszawa;no data;Mo-Su 09:00-00:00;21.0039094;52.2299169
338486364;Lanczowisko;no data;Aleje Jerozolimskie 28;Warszawa;no data;no data;21.0191994;52.2316255
339172882;DOOZO Sushi & Sticks;no data;Bracka 20;Warszawa;no data;no data;21.0169884;52.2317917
339394794;Restauracja KampinÛwka;no data; ;no data;no data;Mo-Sa 11:00-20:00;20.8217177;52.2988044
339504932;Karczma w Janowie;no data; ;no data;no data;Tu-Su 12:00-22:00;20.8456828;52.2658133
339768640;Verona;no data; ;no data;no data;no data;18.7798317;50.2310687
339888987;Pesto;no data; ;no data;no data;no data;21.0207062;52.0755759
339889077;Odjazd;no data; ;no data;no data;Mo-Su 13:00-22:00+;21.0239566;52.0708936
339924922;Papu;no data;Aleja Niepodleg≥oúci 132/136;Warszawa;no data;no data;21.0100566;52.2042447
341287996;Orchidea;no data;Szpitalna 1;Warszawa;no data;no data;21.014015;52.2330328
343644709;Bar Jaworzyna;no data; ;no data;no data;no data;19.0236214;49.6947636
344563240;Dekanta;no data;Marsza≥kowska 55/73;Warszawa;no data;no data;21.0146738;52.2240327
345129176;Pizza & Bistro GdaÒska 22;no data;GdaÒska 22;Zabrze;41-819;no data;18.7708699;50.3177967
345515122;Ole;http://ole-restaurant.pl;Bracka 2;Warszawa;00-502;no data;21.0209351;52.2296493
346403181;Ti Amo;http://www.tiamo.pl;åwiÍtokrzyska 34;Warszawa;00-116;no data;21.0016685;52.2341273
352972084;Hektor;http://www.restauracjahektor.pl;åwiÍtokrzyska 34;Warszawa;00-116;no data;21.0012241;52.2340387
353045157;Gospoda Pod Modrym Fartuchem & Krajina Piva;http://krajina-piva.pl/; ;no data;no data;11:00-01:00;18.6109882;53.0111758
353888175;Fort IV;no data; ;no data;no data;no data;18.6321163;53.0408651
356926795;Dolce Far Niente;https://dolcefarniente.pl/grande/index.html;Indiry Gandhi ;no data;no data;"Mo-Th 12:00-22:00; Fr,Sa 12:00-23:00; Su 12:00-22:30";21.034523;52.1441184
359125159;w Starym M≥ynie;no data;Wolnoúci 28a;no data;no data;no data;18.7363289;50.4120222
359821948;Pizzeria Quattro;no data;Kolejowa 1;MiÒsk Mazowiecki;05-300;no data;21.55323;52.17624
359821949;Kebab;no data; ;MiÒsk Mazowiecki;05-300;no data;21.5540924;52.176343
361088258;S≥owiaÒska;no data;Krakowskie Przedmieúcie 83;Warszawa;no data;no data;21.0132197;52.2466057
361446510;Döbska;no data; ;no data;no data;no data;14.662683;53.370548
362736013;Pod Kogutem;no data;Opolska 93;Wroc≥aw;52-010;Mo-Sa 10:00-19:00, Su 12:00-19:00;17.0865565;51.0750876
362747039;DwÛr Lwowski;no data; ;no data;no data;no data;22.3681762;51.3434535
362750423;Desperado;no data;Kazimierska 24;Pu≥awy;no data;no data;21.9712259;51.4040631
362750436;Atmosfera;no data;Wojska Polskiego 7a;Pu≥awy;24-100;Mo-Su 12:00-24:00;21.9760617;51.4174718
362752945;Smazalnia ryb;no data; ;Pu≥awy;24-100;no data;21.9889641;51.4141326
362752966;Roøen;no data; ;Pu≥awy;24-100;no data;21.957139;51.4207453
362753373;Sushi Garden;https://www.sushigarden.pulawy.pl/; ;no data;no data;no data;21.9626815;51.4177502
362753408;Garmaøerka S≥oneczko;no data; ;Pu≥awy;24-100;Mo-Fr 09:00-18:00, Sa 09:00-16:00;21.9549167;51.4168398
362753911;Tawerna;no data; ;Pu≥awy;24-100;no data;21.9490055;51.4205034
362753964;Podolanka;no data; ;no data;no data;no data;22.3629;51.3452574
364426345;Elefant;no data; ;no data;no data;no data;18.4837609;50.3827141
364443679;£abÍdü;http://www.labedz.info;WÍgorza 1;no data;44-120;no data;18.5754243;50.3863792
364452538;Zajazd Staropolski;no data; ;no data;no data;no data;18.6125227;50.4001492
364612040;Apollo;no data; ;no data;no data;no data;18.7417484;50.4146189
366684437;Guba≥zzeria;no data;Droga Stanis≥awa Zubka 4;Zakopane;34-500;no data;19.9342495;49.3070028
367024102;Oaza;no data; ;no data;no data;no data;18.6159735;50.5090794
367037772;Pod Prosiakiem;no data; ;no data;no data;no data;18.7253783;50.409197
367042531;LeúniczÛwka;no data; ;no data;no data;no data;18.8085002;50.4357821
367047641;Gospoda u Wrochema;no data; ;no data;no data;no data;18.8109999;50.4405007
368143757;Primagor;no data; ;Szyd≥owiec;no data;no data;20.8621927;51.2268977
368143760;Zajazd Texas;no data; ;no data;no data;no data;21.4938765;51.6162329
368143761;Zajazd Przy GoúciÒcu;no data; ;no data;no data;no data;21.6130041;51.4801799
369575297;Valdi Classic;http://valdiclassic.pl/;Jerzego Wyciska 1;Zabrze;41-806;no data;18.819223;50.2938838
369582504;Hotel Diament;no data; ;no data;no data;no data;18.7964598;50.2868239
370163332;Agawa;http://restauracja-wroclaw.pl; ;no data;no data;"Nov-Feb: Mo-Fr 12:00-22:00; Sa-Su 10:00-22:00; Mar-Oct: Mo-Su 12:00-22:00; PH off";17.0096722;51.0751883
370877784;Sami Swoi;no data;Grochowska 271;Warszawa;no data;no data;21.0719241;52.2457974
370891068;U Kucharzy;no data; ;no data;no data;no data;21.0142157;52.2420844
370891072;Giovanni Rubino;no data; ;no data;no data;no data;21.0138824;52.2443073
371627658;Kasyno;no data;Hugona Ko≥≥ötaja 2;ZamoúÊ;22-400;no data;23.252098;50.7176614
371627667;Zajazd Regionalny;no data; ;no data;no data;no data;22.9672779;51.1599729
371627672;Toscania;no data;Reformacka 35;Che≥m;no data;no data;23.4668613;51.1341601
371627707;Kozak;no data;Reformacka 7;Che≥m;no data;no data;23.4711836;51.1321007
371627835;Grande Pizza;no data;Tadeusza Koúciuszki 14;TomaszÛw Lubelski;22-600;"Mo-Th 10:00-22:00; Fr 10:00-03:00; Sa 10:00-12:00; Su 10:00-23:00";23.4146209;50.4511932
371627842;"Zajazd ""Las Vegas""";no data;èdziary ;no data;no data;no data;22.2677731;50.5744646
371629422;Telepizza;no data;Lwowska 79a;Che≥m;no data;no data;23.4691939;51.1251431
371629496;Pizzeria Diavolo;no data;Tadeusza Koúciuszki 24;TomaszÛw Lubelski;22-600;Mo-Su 11:00-22:30;23.4129244;50.4514675
372742772;Chata Polaka;no data;Kozielska 297;no data;no data;no data;18.5902134;50.3167368
372756717;Trattoria Castello;http://trattoriacastello.pl; ;no data;no data;no data;18.6230072;50.3080929
372762811;Tawerna;no data; ;no data;no data;no data;18.5283586;50.3498014
372768352;U Karola;no data; ;no data;no data;no data;18.4617508;50.3484245
372839671;Gospoda Pod Wiözem;no data; ;no data;no data;no data;18.6478138;50.2878154
372849396;Trzy åwiaty;no data; ;no data;no data;no data;18.6702537;50.275886
373571636;Stara Chata;http://starachata.com.pl/;Wiekowej Sosny 50;Zalesie GÛrne;05-540;Mo-Su 13:00-22:00;21.0393428;52.0233121
374645261;Le Carrousel;no data; ;no data;no data;no data;21.0963081;52.0452756
376290620;Kasztelan;no data;Nowogrodzka 14;Warszawa;no data;no data;21.0154118;52.2295713
376308786;Flaming & Co;http://flaming-co.com/;Fryderyka Chopina 5;no data;no data;Mo-Su 08:30-00:00;21.021022;52.2228798
376309429;Bar Za Piecem;no data; ;no data;no data;no data;21.0225746;52.2266714
377029216;Sunanta;no data;Krucza 16/22;Warszawa;no data;no data;21.0189423;52.2262919
377031452;Restauracja Endorfina;no data;Krucza 16/22;Warszawa;00-526;no data;21.0192033;52.2258467
377031996;Tomo Sushi;no data;Krucza 16/22;Warszawa;00-526;no data;21.0190234;52.2261914
378178843;Kwai;no data; ;no data;no data;no data;21.0157841;52.224782
378183931;Maguro;no data; ;no data;no data;no data;21.0182133;52.2255603
378186366;Van Binh;no data; ;no data;no data;no data;20.9755436;52.2108584
378186375;A Modo Mio;no data;GrÛjecka 110;Warszawa;no data;no data;20.9739194;52.2088585
378186382;Dominium;no data;GrÛjecka 122;Warszawa;no data;no data;20.9723791;52.2070095
378238648;Orange Klub;no data;Krucza 41791;Warszawa;no data;no data;21.0193302;52.2253589
383902790;Eureka;no data; ;no data;no data;no data;15.3085122;51.0999424
385474084;Le Petit France;no data; ;no data;no data;no data;15.4875279;50.9807183
385563057;Dom Tyrolski;no data; ;no data;no data;no data;15.7745201;50.8461175
386231015;Akademia SmakÛw Ryszarda Majewskiego;http://www.akademiasmakow.com/;Czapelska 23;Warszawa;no data;no data;21.0853906;52.2424636
386236347;The Bliss;no data; ;no data;no data;no data;21.0163615;52.2464878
386236351;Pizzeria pod Wieøö;no data;Krakowskie Przedmieúcie ;no data;no data;no data;21.0139642;52.2463221
